Geography,Sector,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,,Kilotonnes,,,,,,,,,,,,,,
,"Total, industries and households","758,535","774,383","786,464","786,235","797,662","798,496","794,941","769,866","788,862","797,758","794,102","710,002","725,870","738,307","731,305"
,"Total, industries","633,252","649,007","657,444","661,310","666,162","669,007","666,209","643,007","658,947","665,283","660,522","598,721","615,378","623,320","619,036"
,"Total, households","125,283","125,377","129,020","124,925","131,500","129,489","128,732","126,859","129,916","132,475","133,581","111,281","110,492","114,987","112,269"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","714,217","728,027","737,732","741,163","750,044","747,495","742,044","724,909","737,607","747,051","747,308","682,283","693,574","699,899","693,912"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-44,321","-46,355","-48,731","-45,072","-47,618","-50,999","-52,896","-44,957","-51,256","-50,708","-46,797","-27,718","-32,295","-38,409","-37,394"
Newfoundland and Labrador,"Total, industries and households","9,083","9,249","9,327","8,970","9,034","10,051","10,703","10,913","10,664","10,350","10,285","8,354","7,367","7,643","7,514"
,"Total, industries","7,085","7,276","7,012","6,670","6,843","7,590","8,349","8,537","8,029","7,912","7,928","6,334","5,467","5,666","5,632"
,"Total, households","1,998","1,973","2,316","2,301","2,191","2,461","2,354","2,376","2,635","2,438","2,357","2,021","1,900","1,977","1,881"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","9,903","9,834","10,108","9,681","9,799","10,790","10,967","11,020","10,926","10,682","10,845","8,603","7,981","8,058","7,922"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",820,585,780,710,765,739,264,107,262,332,560,249,615,415,408
Prince Edward Island,"Total, industries and households","1,813","1,842","2,032","1,880","1,574","1,552","1,499","1,590","1,635","1,622","1,656","1,599","1,608","1,583","1,533"
,"Total, industries",824,899,973,922,746,786,795,827,814,833,850,893,911,882,835
,"Total, households",989,943,"1,059",958,828,767,705,763,822,789,806,706,697,701,698
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","1,810","1,841","2,008","1,926","1,648","1,587","1,548","1,594","1,616","1,590","1,633","1,585","1,628","1,606","1,592"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",-3,-1,-24,46,73,35,49,4,-19,-32,-23,-14,20,23,59
Nova Scotia,"Total, industries and households","22,738","21,888","22,241","19,893","18,507","17,094","17,052","16,360","16,707","17,280","16,441","14,081","13,861","13,740","12,996"
,"Total, industries","18,203","17,337","17,101","14,988","13,974","12,889","12,345","11,941","12,140","12,564","11,841","10,229","10,085","9,827","9,124"
,"Total, households","4,535","4,551","5,140","4,905","4,533","4,204","4,707","4,419","4,567","4,716","4,600","3,851","3,776","3,913","3,873"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","20,037","20,020","20,647","18,936","18,041","16,126","16,310","15,579","15,886","16,543","15,783","14,393","14,245","14,292","13,539"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-2,701","-1,867","-1,594",-957,-466,-968,-742,-781,-820,-737,-658,312,384,551,542
New Brunswick,"Total, industries and households","20,493","19,709","20,715","18,967","17,153","16,519","17,369","18,452","17,476","17,442","16,558","15,000","15,485","16,799","15,643"
,"Total, industries","17,120","16,120","16,331","14,730","13,436","12,789","13,053","14,360","13,928","14,067","13,439","12,410","13,131","14,410","13,260"
,"Total, households","3,374","3,590","4,385","4,237","3,717","3,730","4,316","4,092","3,548","3,375","3,120","2,590","2,355","2,389","2,383"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","17,583","17,546","17,641","15,948","14,042","13,731","13,795","14,629","13,551","13,404","13,105","11,112","11,815","12,419","11,466"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-2,910","-2,163","-3,074","-3,019","-3,111","-2,788","-3,574","-3,824","-3,925","-4,038","-3,453","-3,888","-3,671","-4,380","-4,177"
Quebec,"Total, industries and households","91,986","88,412","89,560","87,853","87,550","85,941","88,827","87,305","89,621","89,839","91,561","79,635","84,141","88,628","88,774"
,"Total, industries","67,182","64,481","64,320","63,219","62,257","61,041","64,014","62,840","64,794","65,096","66,640","59,226","62,785","66,115","66,262"
,"Total, households","24,804","23,931","25,239","24,633","25,294","24,900","24,813","24,465","24,827","24,742","24,921","20,408","21,356","22,512","22,512"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","80,470","77,962","80,012","78,533","78,815","76,634","76,908","76,912","79,259","79,946","81,877","74,525","77,530","79,286","78,931"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-11,516","-10,450","-9,547","-9,320","-8,736","-9,306","-11,920","-10,393","-10,362","-9,893","-9,684","-5,110","-6,611","-9,342","-9,843"
Ontario,"Total, industries and households","169,829","178,997","177,823","171,136","172,340","169,315","168,126","166,852","164,499","169,565","170,166","147,380","150,671","158,978","160,672"
,"Total, industries","121,444","130,328","127,267","124,906","121,581","119,655","118,558","119,319","116,066","119,433","118,814","106,240","109,763","115,910","118,464"
,"Total, households","48,385","48,669","50,557","46,230","50,759","49,660","49,568","47,532","48,433","50,131","51,352","41,140","40,907","43,068","42,208"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","164,785","172,963","171,052","166,980","168,060","164,390","163,265","163,112","157,929","163,630","164,943","148,752","151,580","157,558","158,728"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-5,044","-6,033","-6,771","-4,156","-4,280","-4,925","-4,861","-3,740","-6,571","-5,934","-5,223","1,371",909,"-1,421","-1,943"
Manitoba,"Total, industries and households","19,486","19,023","19,112","20,495","21,021","21,194","20,725","21,163","21,542","22,431","22,213","20,567","20,060","21,084","20,578"
,"Total, industries","15,900","15,238","15,493","16,323","16,592","16,748","16,695","17,008","17,367","17,813","17,574","16,581","16,134","16,904","16,482"
,"Total, households","3,586","3,785","3,619","4,172","4,429","4,446","4,030","4,155","4,175","4,618","4,639","3,986","3,926","4,180","4,096"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","19,712","19,324","19,322","20,705","21,242","21,195","20,879","21,184","21,650","22,448","22,218","21,152","20,680","21,736","21,279"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",226,301,211,211,221,1,154,21,108,16,5,585,620,652,700
Saskatchewan,"Total, industries and households","77,661","77,150","77,626","82,279","84,468","87,355","88,578","83,177","88,615","90,057","87,028","75,997","77,988","76,516","75,320"
,"Total, industries","71,784","70,804","72,214","76,298","77,987","81,254","82,510","77,116","82,300","83,592","80,459","70,327","72,600","71,081","70,313"
,"Total, households","5,877","6,346","5,411","5,981","6,481","6,101","6,067","6,062","6,315","6,465","6,569","5,670","5,388","5,435","5,007"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","77,825","77,165","77,511","81,505","83,194","86,268","87,389","82,246","87,151","88,609","86,172","74,590","76,410","75,231","73,913"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",164,15,-114,-774,"-1,274","-1,087","-1,189",-931,"-1,464","-1,448",-856,"-1,407","-1,578","-1,285","-1,407"
Alberta,"Total, industries and households","265,130","273,996","285,154","290,700","300,770","303,757","295,870","278,406","291,330","291,567","292,346","271,006","275,547","273,636","271,415"
,"Total, industries","246,492","255,761","267,009","272,140","280,927","283,780","277,169","259,496","271,566","271,089","271,850","253,305","258,644","256,340","254,639"
,"Total, households","18,638","18,235","18,145","18,561","19,843","19,976","18,701","18,910","19,764","20,479","20,496","17,700","16,904","17,296","16,776"
